City_Name,City_Lat,City_Long,Temperature,Humidity,Cloudiness,Wind_Speed,Country,Date
Levice,48.2156,18.6071,70.11,75,8,4.16,SK,2021-06-17 05:00:42
SÃ£o JosÃ© da Coroa Grande,-8.8978,-35.1478,74.19,90,50,7.2,BR,2021-06-17 05:00:43
Ponta do Sol,32.6667,-17.1,67.35,79,27,8.39,PT,2021-06-17 05:00:43
Dongning,44.0622,131.1207,75.47,64,100,5.03,CN,2021-06-17 05:00:43
Galle,6.0367,80.217,83.26,76,100,14.52,LK,2021-06-17 05:00:44
Itanagar,27.1,93.6167,83.03,78,99,3.67,IN,2021-06-17 05:00:44
Lumding,25.7535,93.1732,91.31,58,73,1.77,IN,2021-06-17 05:00:45
Bathsheba,13.2167,-59.5167,81.21,69,75,23.02,BB,2021-06-17 05:00:45
Nhulunbuy,-12.2333,136.7667,83.01,69,75,14.97,AU,2021-06-17 05:00:46
East London,-33.0153,27.9116,60.06,74,24,6.53,ZA,2021-06-17 05:00:46
Rikitea,-23.1203,-134.9692,75.06,77,84,23.0,PF,2021-06-17 05:00:47
Laramie,41.3114,-105.5911,66.2,39,32,10.33,US,2021-06-17 04:57:28
Fortuna,40.5982,-124.1573,56.57,62,12,1.99,US,2021-06-17 05:00:47
Malangali,-8.5667,34.85,56.62,67,30,8.39,TZ,2021-06-17 05:00:47
Uglovoye,44.8215,33.6045,64.56,84,100,11.88,UA,2021-06-17 05:00:48
Jacareacanga,-6.2222,-57.7528,71.76,98,100,0.47,BR,2021-06-17 05:00:48
Hilo,19.7297,-155.09,74.32,87,90,9.22,US,2021-06-17 05:00:49
Batticaloa,7.7102,81.6924,90.64,48,99,12.26,LK,2021-06-17 05:00:49
Atuona,-9.8,-139.0333,79.57,76,24,24.25,PF,2021-06-17 05:00:50
Porbandar,21.6422,69.6093,86.76,72,100,14.97,IN,2021-06-17 05:00:50
Nantong,32.0303,120.8747,75.97,89,100,8.95,CN,2021-06-17 05:00:50
Puerto Ayora,-0.7393,-90.3518,73.54,90,38,5.01,EC,2021-06-17 05:00:51
Mudgee,-32.5943,149.5871,52.63,63,15,13.4,AU,2021-06-17 05:00:52
Kloulklubed,7.0419,134.2556,84.7,71,84,2.66,PW,2021-06-17 05:00:52
Kahului,20.8947,-156.47,78.82,84,70,11.01,US,2021-06-17 04:56:26
MÃ©dÃ©a,36.2642,2.7539,64.85,50,100,6.64,DZ,2021-06-17 05:00:53
Saint-Philippe,-21.3585,55.7679,70.72,83,60,12.1,RE,2021-06-17 05:00:53
Alofi,-19.0595,-169.9187,77.95,81,69,13.44,NU,2021-06-17 05:00:53
Oussouye,12.485,-16.5469,77.76,85,59,6.08,SN,2021-06-17 05:00:54
Pacific Grove,36.6177,-121.9166,58.71,79,23,1.01,US,2021-06-17 05:00:55
Vaini,-21.2,-175.2,75.09,82,94,5.46,TO,2021-06-17 05:00:55
Mataura,-46.1927,168.8643,45.48,96,67,2.46,NZ,2021-06-17 05:00:56
Cidreira,-30.1811,-50.2056,51.46,82,99,8.19,BR,2021-06-17 05:00:56
Porto-Novo,6.4965,2.6036,77.52,84,99,5.26,BJ,2021-06-17 05:00:56
Vanimo,-2.6741,141.3028,82.87,74,36,5.35,PG,2021-06-17 05:00:57
Port Lincoln,-34.7333,135.8667,56.75,70,77,23.87,AU,2021-06-17 05:00:57
Champerico,14.3,-91.9167,78.21,86,100,8.41,GT,2021-06-17 05:00:58
Garissa,-0.4536,39.6401,75.6,67,70,15.73,KE,2021-06-17 05:00:58
AsÄu,46.4333,26.4,60.78,96,72,4.88,RO,2021-06-17 05:00:58
Lorengau,-2.0226,147.2712,84.96,65,81,7.54,PG,2021-06-17 05:00:59
Kapaa,22.0752,-159.319,76.3,81,39,1.99,US,2021-06-17 05:00:59
Laranjeiras do Sul,-25.4078,-52.4161,45.82,95,36,0.38,BR,2021-06-17 05:00:59
Nikolskoye,59.7035,30.7861,62.89,50,52,7.27,RU,2021-06-17 05:01:00
Bethel,41.3712,-73.414,53.87,77,5,4.18,US,2021-06-17 05:01:01
Biograd na Moru,43.9433,15.4519,61.5,58,8,3.11,HR,2021-06-17 05:01:01
Wufeng,27.45,104.8333,74.43,73,96,3.18,CN,2021-06-17 05:01:05
Avarua,-21.2078,-159.775,76.89,80,27,21.94,CK,2021-06-17 05:01:05
Kavieng,-2.5744,150.7967,83.91,68,98,6.11,PG,2021-06-17 05:01:06
Am Timan,11.0297,20.2827,78.73,65,99,6.64,TD,2021-06-17 05:01:07
Vaitape,-16.5167,-151.75,80.46,77,89,21.88,PF,2021-06-17 05:01:07
Tautira,-17.7333,-149.15,78.82,84,100,17.65,PF,2021-06-17 05:01:08
Lubango,-14.9172,13.4925,52.29,41,23,1.43,AO,2021-06-17 05:01:08
Amahai,-3.3333,128.9167,82.0,76,91,5.48,ID,2021-06-17 05:01:08
Maningrida,-12.0667,134.2667,87.66,50,55,8.63,AU,2021-06-17 05:01:09
Hambantota,6.1241,81.1185,88.14,70,20,13.8,LK,2021-06-17 05:01:09
Ixtapa,20.7,-105.2,83.23,86,79,1.01,MX,2021-06-17 05:00:24
Isangel,-19.55,169.2667,78.75,80,45,4.16,VU,2021-06-17 05:01:10
Broken Hill,-31.95,141.4333,61.9,47,18,16.82,AU,2021-06-17 05:01:10
Kudahuvadhoo,2.6708,72.8944,83.75,75,87,10.69,MV,2021-06-17 05:01:11
Torbay,47.6666,-52.7314,58.84,98,90,12.66,CA,2021-06-17 05:01:11
AcaraÃº,-2.8856,-40.12,76.77,87,12,10.29,BR,2021-06-17 05:01:12
Cedar City,37.6775,-113.0619,73.18,29,97,8.21,US,2021-06-17 05:01:13
Salalah,17.0151,54.0924,85.91,73,71,9.44,OM,2021-06-17 05:01:13
Pedara,37.6169,15.0567,65.08,58,85,3.83,IT,2021-06-17 05:01:14
Meulaboh,4.1363,96.1285,84.99,62,59,4.14,ID,2021-06-17 05:01:14
